date,snack_calories
2018-07-30,243.75
2018-07-31,325.0
2018-08-01,312.5
2018-08-02,231.25
2018-08-03,362.5
2018-08-04,450.0
2018-08-05,300.0
2018-08-06,387.5
2018-08-07,275.0
2018-08-08,225.0
2018-08-09,287.5
2018-08-10,375.0
2018-08-11,500.0
2018-08-12,350.0
2018-08-13,287.5
2018-08-14,300.0
2018-08-15,262.5
2018-08-16,306.25
2018-08-17,425.0
2018-08-18,450.0
2018-08-19,525.0
2018-08-20,250.0
2018-08-21,268.75
2018-08-22,287.5
2018-08-23,350.0
2018-08-24,250.0
2018-08-25,518.75
2018-08-26,675.0
2018-08-27,212.5
2018-08-28,262.5
2018-08-29,268.75
2018-08-30,406.25
2018-08-31,525.0
2018-09-01,600.0
2018-09-02,575.0
2018-09-03,225.0
2018-09-04,300.0
2018-09-05,312.5
2018-09-06,475.0
2018-09-07,250.0
2018-09-08,387.5
2018-09-09,650.0
2018-09-10,275.0
2018-09-11,262.5
2018-09-12,293.75
2018-09-13,787.5
2018-09-14,212.5
2018-09-15,706.25
2018-09-16,737.5
2018-09-17,281.25
2018-09-18,293.75
2018-09-19,325.0
2018-09-20,675.0
2018-09-21,550.0
2018-09-22,381.25
2018-09-23,737.5
2018-09-24,300.0
2018-09-25,237.5
2018-09-26,287.5
2018-09-27,318.75
2018-09-28,420.3125
2018-09-29,521.875
2018-09-30,623.4375
2018-10-01,725.0
2018-10-02,312.5
2018-10-03,643.75
2018-10-04,537.5
2018-10-05,362.5
2018-10-06,187.5
2018-10-07,275.0
2018-10-08,275.0
2018-10-09,175.0
2018-10-10,425.0
2018-10-11,362.5
2018-10-12,200.0
2018-10-13,612.5
2018-10-14,806.25
2018-10-15,287.5
2018-10-16,287.5
2018-10-17,225.0
2018-10-18,400.0
2018-10-19,425.0
2018-10-20,237.5
2018-10-21,537.5
2018-10-22,225.0
2018-10-23,468.75
2018-10-24,437.5
2018-10-25,356.25
2018-10-26,343.75
2018-10-27,368.75
2018-10-28,853.125
2018-10-29,175.0
2018-10-30,193.75
2018-10-31,293.75
2018-11-01,675.0
2018-11-02,412.5
2018-11-03,668.75
2018-11-04,650.0
2018-11-05,250.0
2018-11-06,443.75
2018-11-07,275.0
2018-11-08,325.0
2018-11-09,462.5
2018-11-10,450.0
2018-11-11,325.0
2018-11-12,531.25
2018-11-13,256.25
2018-11-14,731.25
2018-11-15,243.75
2018-11-16,631.25
2018-11-17,775.0
2018-11-18,853.125
2018-11-19,275.0
2018-11-20,293.75
2018-11-21,668.75
2018-11-22,200.0
2018-11-23,393.75
2018-11-24,468.75
2018-11-25,800.0
2018-11-26,250.0
2018-11-27,275.0
2018-11-28,293.75
2018-11-29,256.25
2018-11-30,393.75
2018-12-01,587.5
2018-12-02,512.5
2018-12-03,312.5
2018-12-04,300.0
2018-12-05,268.75
2018-12-06,287.5
2018-12-07,350.0
2018-12-08,853.125
2018-12-09,175.0
2018-12-10,275.0
2018-12-11,287.5
2018-12-12,300.0
2018-12-13,262.5
2018-12-14,287.5
2018-12-15,718.75
2018-12-16,368.75
2018-12-17,243.75
2018-12-18,237.5
2018-12-19,187.5
