date,snack_calories
2021-07-12,405.625
2021-07-13,277.375
2021-07-14,253.625
2021-07-15,341.75
2021-07-16,253.625
2021-07-17,277.375
2021-07-18,236.625
2021-07-19,355.0
2021-07-20,354.5
2021-07-21,253.625
2021-07-22,220.453125
2021-07-23,220.453125
2021-07-24,220.453125
2021-07-25,340.375
2021-07-26,253.625
2021-07-27,321.0
2021-07-28,264.5
2021-07-29,322.625
2021-07-30,357.125
2021-07-31,314.125
2021-08-01,377.5
2021-08-02,308.25
2021-08-03,314.125
2021-08-04,317.625
2021-08-05,332.375
2021-08-06,354.375
2021-08-07,332.375
2021-08-08,336.75
2021-08-09,337.0
2021-08-10,391.875
2021-08-11,328.25
2021-08-12,351.25
2021-08-13,380.0
2021-08-14,339.625
2021-08-15,380.0
2021-08-16,311.875
2021-08-17,220.453125
2021-08-18,325.75
2021-08-19,355.875
2021-08-20,320.0
2021-08-21,332.875
2021-08-22,355.875
2021-08-23,302.375
2021-08-24,296.0
2021-08-25,331.25
2021-08-26,327.125
2021-08-27,351.75
2021-08-28,311.875
2021-08-29,273.0
2021-08-30,339.875
2021-08-31,301.875
2021-09-01,324.875
2021-09-02,262.875
2021-09-03,324.875
2021-09-04,359.75
2021-09-05,286.125
2021-09-06,317.25
2021-09-07,340.125
2021-09-08,289.0
2021-09-09,354.25
2021-09-10,286.125
2021-09-11,343.625
2021-09-12,289.875
2021-09-13,336.875
2021-09-14,289.875
2021-09-15,289.625
2021-09-16,349.875
2021-09-17,331.25
2021-09-18,342.875
2021-09-19,294.75
2021-09-20,291.75
2021-09-21,291.75
2021-09-22,300.5
2021-09-23,291.75
2021-09-24,288.0
2021-09-25,339.0
2021-09-26,288.0
2021-09-27,339.375
2021-09-28,331.125
2021-09-29,288.0
2021-09-30,223.125
2021-10-01,245.75
2021-10-02,360.125
2021-10-03,343.25
2021-10-04,300.75
2021-10-05,314.875
2021-10-06,301.75
2021-10-07,222.5
2021-10-08,321.375
2021-10-09,334.875
2021-10-10,298.625
2021-10-11,380.625
2021-10-12,326.625
2021-10-13,308.0
2021-10-14,321.375
2021-10-15,306.75
2021-10-16,304.0
2021-10-17,229.375
2021-10-18,348.375
2021-10-19,321.375
2021-10-20,346.5
2021-10-21,390.125
2021-10-22,327.75
2021-10-23,351.875
2021-10-24,304.875
2021-10-25,301.25
2021-10-26,324.75
2021-10-27,334.375
2021-10-28,334.375
2021-10-29,407.0
2021-10-30,302.875
2021-10-31,315.625
2021-11-01,338.375
2021-11-02,289.625
2021-11-03,288.875
2021-11-04,378.0
2021-11-05,244.75
2021-11-06,222.625
2021-11-07,222.625
2021-11-08,302.25
2021-11-09,287.375
2021-11-10,288.875
2021-11-11,292.125
2021-11-12,301.125
2021-11-13,368.25
2021-11-14,313.625
2021-11-15,363.5
2021-11-16,340.75
2021-11-17,313.625
2021-11-18,329.25
2021-11-19,290.0
2021-11-20,302.875
2021-11-21,278.625
2021-11-22,398.75
2021-11-23,295.75
2021-11-24,332.0
2021-11-25,312.75
2021-11-26,333.625
2021-11-27,302.875
2021-11-28,257.125
2021-11-29,296.625
2021-11-30,364.5
2021-12-01,314.625
2021-12-02,302.875
2021-12-03,349.125
2021-12-04,310.875
2021-12-05,315.5
2021-12-06,326.5
2021-12-07,315.75
2021-12-08,310.875
2021-12-09,295.75
2021-12-10,302.875
2021-12-11,334.5
2021-12-12,323.25
